,year,title,genre,down
101966,2019,토이 스토리 4 (Toy Story 4),"['애니메이션', '모험', '코미디', '가족', '판타지']",0
109193,2019,드래곤 길들이기 3 (How to Train Your Dragon 3),"['애니메이션', '액션', '모험', '코미디', '가족', '판타지']",0
125438,2019,레고 무비 2 (The Lego Movie Sequel),"['애니메이션', '액션', '모험', '코미디', '가족']",0
130945,2019,저스티스 리그 파트 2 (Justice League Part Two),"['액션', 'SF']",0
132623,2019,캡틴 마블 (Captain Marvel),"['액션', '모험', 'SF']",0
136873,2019,겨울왕국 2 (Frozen 2),"['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬']",0
136900,2019,어벤져스 무비 (가제) (Untitled Avengers Movie),"['액션', 'SF']",0
137327,2019,고질라: 킹 오브 더 몬스터스 (Godzilla: King of the Monsters),"['액션', '모험', 'SF']",0
137345,2019,갬빗 (Gambit),"['액션', '모험', '판타지', 'SF']",0
140649,2019,샤잠! (Shazam!),"['액션', '판타지', 'SF']",0
140655,2019,나우 유 씨 미 3 (Now You See Me 3),"['범죄', '스릴러']",0
144694,2019,스타워즈 에피소드 9 (Star Wars: Episode IX),"['액션', '모험', '판타지', 'SF']",0
148364,2019,스케이트 갓 (Skate God),"['액션', '판타지', 'SF']",0
159866,2019,닥터 두리틀의 여행 (The Voyage of Doctor Dolittle),"['코미디', '가족', '판타지']",0
159887,2019,에드 아스트라 (Ad Astra),"['SF', '스릴러']",0
163787,2019,덤보 (Dumbo ),"['애니메이션', '가족', '판타지']",0
163788,2019,알라딘 (Aladdin),"['모험', '가족', '판타지', '뮤지컬', '멜로/로맨스']",0
163811,2019,카오스 워킹 (Chaos Walking),['SF'],0
163817,2019,이즌트 잇 로맨틱 (Isn't It Romantic),['코미디'],0
163826,2019,글래스 (Glass),['스릴러'],0
163834,2019,원더 우먼 2 (Wonder Woman 2),"['액션', '모험', '판타지']",0
164109,2019,엑스 바그다드 (Ex-Baghdad),"['액션', '모험', '스릴러']",0
164440,2019,프랑켄슈타인의 신부(가제) (Bride of Frankenstein),['공포'],0
167423,2019,더 리듬 섹션 (The Rhythm Section),"['액션', '미스터리', '스릴러']",0
167438,2019,더 소저너 (The Sojourner),['드라마'],0
167494,2019,아르테미스 폴 (Artemis Fowl),"['액션', '모험', '가족']",0
167569,2019,수어사이드 스쿼드 2 (Suicide Squad 2),"['액션', '모험', '판타지', '미스터리', 'SF']",0
167599,2019,앵그리버드 더 무비 2 (The Angry Birds Movie 2),"['애니메이션', '액션']",0
167605,2019,터미네이터 6 (가제) (Untitled Terminator Reboot),['SF'],0
167630,2019,매스커레이드 호텔 (Masquerade Hotel),['드라마'],0
167631,2019,아르테미스 파울 (Artemis Fowl),"['액션', '모험', '가족']",0
167657,2019,명탐정 피카츄 (Pokemon),"['애니메이션', '가족', '판타지', '미스터리', 'SF']",0
167658,2019,더 에어로넛츠 (The Aeronauts ),"['액션', '모험']",0
167683,2019,쿵푸 (Kung Fu),[],0
168043,2019,더 키드 후 우드 비 킹 (The Kid Who Would Be King),"['모험', '판타지']",0
168086,2019,어뮤즈먼트 파크 (Amusement Park),"['애니메이션', '모험', '코미디', '가족']",0
168092,2019,플라스키 (Flarsky),['코미디'],0
169216,2019,스탠 & 올리 (Stan and Ollie),"['코미디', '드라마']",0
169241,2019,상해보루 (Shanghai Fortress),['SF'],0
169637,2019,라이온 킹 (The Lion King),"['애니메이션', '모험', '드라마', '가족', '뮤지컬']",0
170455,2019,플레이 더 플루트 (Play the Flute),['드라마'],0
171502,2019,더 골드핀치 (The Goldfinch),['드라마'],0
172085,2019,샤프트 (Shaft),"['액션', '범죄']",0
172109,2019,몬스터 버틀러 (Monster Butler),"['드라마', '스릴러']",0
172135,2019,그날의 오르간,[],0
172136,2019,미인이 결혼활동 해봤더니,[],0
172176,2019,극장판 시티헌터 (가제),['애니메이션'],0
172177,2019,그림자 밟기,[],0
172178,2019,하늘의 레스토랑,[],0
172179,2019,무사미 무사시,[],0
172764,2019,제미니 맨 (Gemini Man),"['액션', '드라마', 'SF']",0
172780,2019,스파이 인 디스가이즈 (Spies in Disguise),"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']",0
172785,2019,머더리스 브루클린 (Motherless Brooklyn),"['범죄', '드라마']",0
172795,2019,마 (Ma),"['공포', '스릴러']",0
172805,2019,인스턴트 패밀리 (Instant Family),['코미디'],0
172806,2019,마리겔라 (Marighella),['액션'],0
172807,2019,노엘 (Noelle),"['가족', '판타지']",0
172808,2019,더 데블 해즈 어 네임 (The Devil Has a Name),[],0
172812,2019,나야 레전드 오브 더 골든 돌핀 (Naya Legend of the Golden Dolphin),"['애니메이션', '액션', '모험', '가족']",0
172816,2019,소닉 더 헤지혹 (Sonic the Hedgehog),"['애니메이션', '액션', '모험', '코미디', '가족', '판타지', 'SF']",0
172826,2019,더 터닝 (The Turning),"['드라마', '공포']",0
172828,2019,프리카 리카 쉬카 디카 앤 더 빅 배틀 인 더 포레스트 (Freeka Reeka Sheeka Deeka and the Big Battle in the Forest),['판타지'],0
172836,2019,원스 어폰 어 타임 인 할리우드 (Once Upon a Time in Hollywood),"['범죄', '드라마', '스릴러']",0
172840,2019,아키 (Arkie),"['애니메이션', '모험', '판타지', '미스터리', 'SF']",0
173123,2019,스파이더맨: 홈커밍 2 (가제) (Spider-Man: Homecoming 2),"['액션', '모험', '코미디', 'SF']",0
173203,2019,그리에따스 (Grietas),"['스릴러', '공포']",0
174324,2019,란덴,[],0
174325,2019,영화 도검난무,[],0
81888,2019,탑 건 2 (Top Gun 2),['액션'],0
85140,2019,트리플 프론티어 (Triple Frontier),"['액션', '모험', '범죄', '드라마', '미스터리', '스릴러']",0
99702,2019,본드 25 (Bond 25),"['액션', '모험', '스릴러']",0
